Z:\home\cetin\projects\elkarto\esp32\laptop>python monitor.py
connecting to ws://192.168.4.1:81 ...
connected. type: kp <kp> <ki> <kd>  to push new PID gains
[11:43:13] gas=2010 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2008 brake=3377 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2133 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2112 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2120 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2104 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2128 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2082 brake=3351 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2084 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2074 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2083 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2077 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2080 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2077 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2076 brake=3380 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2075 brake=3372 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2076 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2072 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2068 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2062 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2056 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2063 brake=3390 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2051 brake=3364 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:14] gas=2044 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=74000ms heap=223316B clients=1
[11:43:15] gas=2046 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2044 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2045 brake=3357 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2045 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2049 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2045 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2044 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2043 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2044 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2041 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2041 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2060 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2072 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2086 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2091 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2089 brake=3374 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2088 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2083 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2052 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:15] gas=2048 brake=3363 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2092 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2085 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2086 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2071 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2080 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2065 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2086 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2066 brake=3360 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2069 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2051 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2053 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2051 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2050 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2106 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2111 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2103 brake=3372 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2109 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2107 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2107 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:16] gas=2103 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=76000ms heap=223316B clients=1
[11:43:17] gas=2090 brake=3361 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2088 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=1966 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2083 brake=3372 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2086 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=1973 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2091 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2092 brake=3381 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2080 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2075 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2077 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2076 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2077 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2069 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=1977 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2089 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2091 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2107 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2105 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:17] gas=2100 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2098 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2082 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2087 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2081 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2083 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2080 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2076 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2052 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2043 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2029 brake=3363 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2030 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
